date,province,infs,rts
2020-03-13,EC,1,4.45
2020-03-14,EC,1,4.13
2020-03-15,EC,1,3.83
2020-03-16,EC,2,3.56
2020-03-17,EC,2,3.3
2020-03-18,EC,3,3.05
2020-03-19,EC,4,2.82
2020-03-20,EC,5,2.61
2020-03-21,EC,6,2.41
2020-03-22,EC,7,2.27
2020-03-23,EC,8,2.16
2020-03-24,EC,9,2.05
2020-03-25,EC,11,1.95
2020-03-26,EC,12,1.87
2020-03-27,EC,14,1.9
2020-03-28,EC,15,1.99
2020-03-29,EC,18,2.1
2020-03-30,EC,20,2.22
2020-03-31,EC,24,2.31
2020-04-01,EC,28,2.37
2020-04-02,EC,34,2.43
2020-04-03,EC,41,2.44
2020-04-04,EC,49,2.43
2020-04-05,EC,59,2.39
2020-04-06,EC,71,2.33
2020-04-07,EC,85,2.24
2020-04-08,EC,100,2.14
2020-04-09,EC,116,2.01
2020-04-10,EC,133,1.88
2020-04-11,EC,149,1.73
2020-04-12,EC,165,1.56
2020-04-13,EC,178,1.4
2020-04-14,EC,188,1.26
2020-04-15,EC,195,1.22
2020-04-16,EC,201,1.2
2020-04-17,EC,207,1.18
2020-04-18,EC,212,1.18
2020-04-19,EC,218,1.21
2020-04-20,EC,224,1.22
2020-04-21,EC,231,1.21
2020-04-22,EC,238,1.14
2020-04-23,EC,243,1.07
2020-04-24,EC,246,1.03
2020-04-25,EC,247,1.03
2020-04-26,EC,248,1.04
2020-04-27,EC,249,1.11
2020-04-28,EC,253,1.26
2020-04-29,EC,263,1.42
2020-04-30,EC,278,1.57
2020-05-01,EC,301,1.68
2020-05-02,EC,330,1.75
2020-05-03,EC,365,1.81
2020-05-04,EC,408,1.82
2020-05-05,EC,455,1.77
2020-05-06,EC,505,1.68
2020-05-07,EC,555,1.56
2020-05-08,EC,599,1.44
2020-05-09,EC,637,1.31
2020-05-10,EC,665,1.18
2020-05-11,EC,682,1.09
2020-05-12,EC,691,1.06
2020-05-13,EC,697,1.14
2020-05-14,EC,711,1.26
2020-05-15,EC,737,1.3
2020-05-16,EC,769,1.22
2020-03-13,GP,75,2.74
2020-03-14,GP,94,2.62
2020-03-15,GP,116,2.51
2020-03-16,GP,141,2.38
2020-03-17,GP,168,2.25
2020-03-18,GP,199,2.1
2020-03-19,GP,230,1.94
2020-03-20,GP,261,1.77
2020-03-21,GP,289,1.58
2020-03-22,GP,313,1.37
2020-03-23,GP,330,1.12
2020-03-24,GP,336,0.9
2020-03-25,GP,331,0.71
2020-03-26,GP,317,0.48
2020-03-27,GP,294,0.29
2020-03-28,GP,264,0.13
2020-03-29,GP,231,0.04
2020-03-30,GP,199,0.08
2020-03-31,GP,173,0.22
2020-04-01,GP,154,0.39
2020-04-02,GP,141,0.72
2020-04-03,GP,135,1.01
2020-04-04,GP,135,1.25
2020-04-05,GP,140,1.4
2020-04-06,GP,148,1.45
2020-04-07,GP,157,1.44
2020-04-08,GP,167,1.46
2020-04-09,GP,178,1.5
2020-04-10,GP,191,1.51
2020-04-11,GP,205,1.48
2020-04-12,GP,219,1.41
2020-04-13,GP,232,1.36
2020-04-14,GP,244,1.29
2020-04-15,GP,254,1.17
2020-04-16,GP,260,1.01
2020-04-17,GP,260,0.86
2020-04-18,GP,255,0.75
2020-04-19,GP,246,0.73
2020-04-20,GP,236,0.74
2020-04-21,GP,228,0.79
2020-04-22,GP,221,0.9
2020-04-23,GP,218,1.07
2020-04-24,GP,220,1.26
2020-04-25,GP,228,1.41
2020-04-26,GP,241,1.46
2020-04-27,GP,257,1.45
2020-04-28,GP,274,1.41
2020-04-29,GP,290,1.34
2020-04-30,GP,304,1.26
2020-05-01,GP,315,1.17
2020-05-02,GP,323,1.1
2020-05-03,GP,327,1.08
2020-05-04,GP,331,1.07
2020-05-05,GP,334,1.06
2020-05-06,GP,337,1.07
2020-05-07,GP,340,1.07
2020-05-08,GP,343,1.13
2020-05-09,GP,350,1.17
2020-05-10,GP,358,1.19
2020-05-11,GP,368,1.23
2020-05-12,GP,380,1.24
2020-05-13,GP,393,1.22
2020-05-14,GP,406,1.21
2020-05-15,GP,418,1.15
2020-05-16,GP,427,1.2
2020-03-13,KZN,18,2.62
2020-03-14,KZN,22,2.75
2020-03-15,KZN,28,2.79
2020-03-16,KZN,35,2.74
2020-03-17,KZN,43,2.59
2020-03-18,KZN,53,2.42
2020-03-19,KZN,64,2.23
2020-03-20,KZN,75,2.0
2020-03-21,KZN,86,1.75
2020-03-22,KZN,95,1.49
2020-03-23,KZN,102,1.25
2020-03-24,KZN,105,1.06
2020-03-25,KZN,106,0.91
2020-03-26,KZN,105,0.8
2020-03-27,KZN,102,0.83
2020-03-28,KZN,100,0.96
2020-03-29,KZN,99,1.17
2020-03-30,KZN,101,1.42
2020-03-31,KZN,107,1.6
2020-04-01,KZN,117,1.7
2020-04-02,KZN,128,1.74
2020-04-03,KZN,142,1.66
2020-04-04,KZN,155,1.54
2020-04-05,KZN,167,1.4
2020-04-06,KZN,177,1.25
2020-04-07,KZN,183,1.09
2020-04-08,KZN,185,1.0
2020-04-09,KZN,185,0.97
2020-04-10,KZN,185,0.98
2020-04-11,KZN,184,1.03
2020-04-12,KZN,185,1.08
2020-04-13,KZN,187,1.16
2020-04-14,KZN,191,1.25
2020-04-15,KZN,198,1.29
2020-04-16,KZN,206,1.28
2020-04-17,KZN,215,1.23
2020-04-18,KZN,222,1.19
2020-04-19,KZN,228,1.14
2020-04-20,KZN,232,1.04
2020-04-21,KZN,234,0.93
2020-04-22,KZN,232,0.83
2020-04-23,KZN,226,0.8
2020-04-24,KZN,220,0.83
2020-04-25,KZN,214,0.86
2020-04-26,KZN,210,0.9
2020-04-27,KZN,207,0.98
2020-04-28,KZN,207,1.11
2020-04-29,KZN,210,1.21
2020-04-30,KZN,216,1.23
2020-05-01,KZN,224,1.2
