country,start_date,end_date,est_date,rt,irat,rank
Barking and Dagenham,2020-03-08,2020-05-18,2020-05-14,0.65,0.07,0.05
Barnet,2020-03-06,2020-05-19,2020-05-15,0.68,0.04,0.03
Barnsley,2020-03-09,2020-05-19,2020-05-15,0.46,0.34,0.16
Bedford,2020-03-20,2020-05-17,2020-05-13,0.87,0.26,0.23
Bexley,2020-03-16,2020-05-19,2020-05-15,0.47,0.08,0.04
Birmingham,2020-03-08,2020-05-19,2020-05-15,0.1,0.08,0.01
Blackpool,2020-03-17,2020-05-19,2020-05-15,0.34,0.14,0.05
Bolton,2020-03-08,2020-05-19,2020-05-15,0.71,0.17,0.12
"Bournemouth, Christchurch and Poole",2020-03-12,2020-05-19,2020-05-15,1.03,0.13,0.13
Bradford,2020-03-08,2020-05-20,2020-05-16,0.18,0.19,0.03
Brent,2020-03-06,2020-05-19,2020-05-15,0.73,0.06,0.04
"Bristol, City of",2020-03-10,2020-05-20,2020-05-16,0.0,0.05,0.0
Bromley,2020-03-08,2020-05-19,2020-05-15,0.0,0.07,0.0
Buckinghamshire,2020-03-08,2020-05-19,2020-05-15,0.72,0.2,0.14
Bury,2020-03-08,2020-05-18,2020-05-14,1.65,0.36,0.59
Cambridgeshire,2020-03-10,2020-05-18,2020-05-14,0.35,0.37,0.13
Camden,2020-03-09,2020-05-19,2020-05-15,0.42,0.05,0.02
Central Bedfordshire,2020-03-17,2020-05-17,2020-05-13,0.95,0.18,0.17
Cheshire East,2020-03-17,2020-05-19,2020-05-15,0.39,0.18,0.07
Cheshire West and Chester,2020-03-09,2020-05-19,2020-05-15,0.52,0.22,0.11
Cornwall and Isles of Scilly,2020-03-09,2020-05-20,2020-05-16,0.78,0.09,0.07
County Durham,2020-03-16,2020-05-19,2020-05-15,0.3,0.16,0.05
Coventry,2020-03-12,2020-05-19,2020-05-15,0.55,0.12,0.07
Croydon,2020-03-14,2020-05-18,2020-05-14,0.69,0.04,0.03
Cumbria,2020-03-10,2020-05-19,2020-05-15,1.02,0.08,0.08
Derby,2020-03-13,2020-05-19,2020-05-15,0.31,0.11,0.03
Derbyshire,2020-03-03,2020-05-20,2020-05-16,0.46,0.19,0.09
Devon,2020-03-09,2020-05-20,2020-05-16,0.79,0.09,0.07
Doncaster,2020-03-17,2020-05-20,2020-05-16,0.0,0.16,0.0
Dudley,2020-03-14,2020-05-19,2020-05-15,0.86,0.16,0.14
Ealing,2020-03-08,2020-05-18,2020-05-14,0.58,0.12,0.07
East Riding of Yorkshire,2020-03-06,2020-05-20,2020-05-16,0.5,0.27,0.14
East Sussex,2020-03-18,2020-05-19,2020-05-15,0.96,0.13,0.12
Enfield,2020-03-13,2020-05-19,2020-05-15,1.13,0.06,0.07
England,2020-03-02,2020-05-20,2020-05-16,0.11,0.08,0.01
Essex,2020-03-06,2020-05-19,2020-05-15,0.01,0.07,0.0
Gateshead,2020-03-19,2020-05-19,2020-05-15,0.18,0.03,0.01
Gloucestershire,2020-03-04,2020-05-18,2020-05-14,0.73,0.05,0.04
Greenwich,2020-03-14,2020-05-19,2020-05-15,0.46,0.05,0.02
Hackney,2020-03-13,2020-05-18,2020-05-14,1.05,0.03,0.03
Hammersmith and Fulham,2020-03-11,2020-05-18,2020-05-14,1.08,0.06,0.06
Hampshire,2020-03-05,2020-05-19,2020-05-15,0.57,0.16,0.09
Haringey,2020-03-15,2020-05-16,2020-05-12,0.86,0.1,0.09
Harrow,2020-03-10,2020-05-18,2020-05-14,0.33,0.05,0.02
Havering,2020-03-13,2020-05-19,2020-05-15,0.99,0.05,0.05
Hertfordshire,2020-03-08,2020-05-19,2020-05-15,0.13,0.09,0.01
Hillingdon,2020-03-09,2020-05-17,2020-05-13,0.83,0.06,0.05
Hounslow,2020-03-06,2020-05-19,2020-05-15,1.01,0.06,0.06
Kensington and Chelsea,2020-03-05,2020-05-17,2020-05-13,0.16,0.03,0.0
Kent,2020-03-10,2020-05-19,2020-05-15,0.45,0.18,0.08
"Kingston upon Hull, City of",2020-03-08,2020-05-19,2020-05-15,0.35,0.2,0.07
Kirklees,2020-03-16,2020-05-20,2020-05-16,0.4,0.13,0.05
Knowsley,2020-03-19,2020-05-18,2020-05-14,0.77,0.17,0.13
Lambeth,2020-03-10,2020-05-19,2020-05-15,0.0,0.01,0.0
Lancashire,2020-03-08,2020-05-18,2020-05-14,0.68,0.19,0.13
Leeds,2020-03-06,2020-05-20,2020-05-16,0.08,0.09,0.01
Leicester,2020-03-18,2020-05-20,2020-05-16,0.33,0.16,0.05
Leicestershire,2020-03-05,2020-05-20,2020-05-16,0.62,0.28,0.17
Lewisham,2020-03-11,2020-05-19,2020-05-15,1.06,0.06,0.06
Lincolnshire,2020-03-10,2020-05-19,2020-05-15,0.0,0.08,0.0
Liverpool,2020-03-09,2020-05-19,2020-05-15,0.79,0.1,0.08
Luton,2020-03-11,2020-05-18,2020-05-14,2.05,0.1,0.2
Manchester,2020-03-10,2020-05-19,2020-05-15,0.73,0.2,0.15
Medway,2020-03-05,2020-05-19,2020-05-15,0.0,0.06,0.0
Merton,2020-03-08,2020-05-18,2020-05-14,1.33,0.07,0.09
Middlesbrough,2020-03-21,2020-05-19,2020-05-15,1.6,0.11,0.18
Milton Keynes,2020-03-10,2020-05-14,2020-05-10,0.59,0.11,0.06
Newcastle upon Tyne,2020-03-09,2020-05-19,2020-05-15,0.96,0.08,0.08
Newham,2020-03-16,2020-05-17,2020-05-13,0.9,0.04,0.04
Norfolk,2020-03-17,2020-05-20,2020-05-16,0.11,0.12,0.01
